Zipcode,Lat
33835,27.79
33508,27.94
33509,27.92
33510,27.92
33511,27.92
34601,28.55
34602,28.55
34603,28.55
34604,28.48
34605,28.55
34606,28.44
34607,28.44
34608,28.44
34609,28.55
34610,28.55
34611,28.44
34613,28.55
34614,28.55
32110,29.46
33513,28.66
32111,29.04
32920,28.4
33924,26.58
32706,28.96
32707,28.66
32708,28.68
32718,28.66
32719,28.68
32730,28.66
33514,28.64
34138,25.83
32709,28.53
32113,29.41
32710,28.61
33755,27.97
33756,27.97
33757,27.97
33758,27.97
33759,27.97
33760,27.97
33761,27.97
33762,27.97
33763,27.97
33764,27.97
33765,27.97
33766,27.97
33767,27.98
33769,27.97
34711,28.55
34712,28.55
34713,28.55
34714,28.53
34715,28.63
32922,28.37
32923,28.37
32924,28.37
32926,28.37
32927,28.37
32931,28.33
32932,28.33
33521,28.8
34137,25.96
34215,27.46
32112,29.43
34681,28.08
33524,28.18
33523,28.36
33525,28.36
33526,28.36
33836,28.16
33837,28.16
33896,28.16
33897,28.16
32114,29.19
32115,29.19
32116,29.19
32117,29.19
32118,29.19
32119,29.19
32120,29.19
32121,29.19
32122,29.19
32124,29.19
32125,29.19
32126,29.19
32198,29.19
32713,28.88
32753,28.88
32720,29.05
32721,29.05
32722,29.08
32723,29.03
32724,29.05
32130,29.11
32725,28.9
32728,28.9
32738,28.9
32739,28.9
33527,27.99
33838,28.02
34697,28.02
34698,28.02
33530,27.9
33839,27.97
32133,29.04
32131,29.65
33840,28.2
32132,28.96
32141,28.96
34680,28.21
34222,27.52
34223,26.95
34224,26.95
34295,26.95
33928,26.44
33929,26.43
32726,28.85
32727,28.85
32736,28.85
34139,25.86
33930,26.54
32948,27.76
32135,29.57
32136,29.47
32137,29.57
32142,29.57
32143,29.42
32164,29.57
32140,29.73
32134,29.34
33841,27.75
33901,26.63
33902,26.63
33903,26.63
33904,26.63
33905,26.63
33906,26.63
33907,26.63
33908,26.63
33909,26.63
33910,26.63
33911,26.63
33912,26.63
33913,26.63
33914,26.63
33915,26.63
33916,26.63
33917,26.63
33918,26.63
33919,26.63
33965,26.63
33966,26.57
33967,26.47
33990,26.63
33991,26.63
33993,26.63
33994,26.63
33931,26.48
33932,26.45
34267,27.09
33843,27.74
34731,28.85
32732,28.73
32139,29.39
33534,27.84
32733,28.61
34140,25.92
34734,28.54
32138,29.72
32735,28.88
32949,27.92
34736,28.56
33844,28.1
33845,28.1
32145,29.71
33846,27.96
32147,29.62
33847,27.79
34737,28.71
34142,26.41
34143,26.41
33785,27.88
33786,27.91
33848,28.26
32148,29.61
32149,29.61
34636,28.65
33849,28.11
34739,27.88
34741,28.3
34742,28.3
34743,28.3
34744,28.3
34745,28.3
34746,28.3
34747,28.3
34758,28.3
34759,28.08
33935,26.64
33975,26.64
33537,28.46
32158,28.92
32159,28.92
32162,28.92
32163,28.93
33850,28.09
32157,29.48
32160,29.77
33851,28.04
32744,28.98
33801,28.04
33802,28.04
33803,28.04
33804,28.04
33805,28.04
33806,28.04
33807,28.04
33809,28.04
33810,28.04
33811,28.04
33812,27.97
33813,28.04
33815,28.04
32746,28.75
32795,28.75
32747,28.84
33538,28.79
33852,27.29
33862,27.29
33853,27.9
33854,27.87
33855,27.87
33856,27.87
33859,27.9
33867,27.88
33898,27.9
34637,28.24
34638,28.27
34639,28.25
33770,27.9
33771,27.9
33772,27.84
33773,27.9
33774,27.9
33775,27.84
33776,27.84
33777,27.9
33778,27.9
33779,27.9
34272,27.14
34748,28.8
34749,28.8
34788,28.8
34789,28.8
33936,26.6
33970,26.6
33971,26.6
33972,26.6
33973,26.59
33974,26.56
33976,26.6
33547,27.85
34228,27.37
32750,28.7
32752,28.7
32779,28.7
32791,28.7
33857,27.45
33858,28.23
33548,28.13
33549,28.13
33558,28.13
33559,28.13
32751,28.62
32794,28.62
32950,27.98
34260,27.42
33550,27.99
34145,25.94
34146,25.94
34753,28.57
32901,28.08
32902,28.08
32903,28.08
32904,28.08
32905,27.98
32906,27.98
32907,27.98
32908,27.98
32909,27.98
32910,27.98
32911,27.98
32912,28.08
32919,28.08
32925,28.23
32934,28.08
32935,28.08
32936,28.08
32937,28.17
32940,28.08
32941,28.08
32951,28.06
32952,28.32
32953,28.32
32954,28.32
32745,28.75
32799,28.76
32754,28.68
34755,28.57
34729,28.62
34756,28.59
32756,28.8
32757,28.8
33860,27.9
34251,27.35
34101,26.14
34102,26.14
34103,26.14
34104,26.14
34105,26.14
34106,26.14
34107,26.27
34108,26.14
34109,26.14
34110,26.14
34112,26.14
34113,26.14
34114,26.14
34116,26.14
34117,26.14
34119,26.14
34120,26.14
34652,28.24
34653,28.24
34654,28.24
34655,28.24
34656,28.24
32168,29.02
32169,29.02
32170,29.02
33863,27.79
34661,28.64
34268,27.16
34274,27.12
34275,27.12
32759,28.86
34740,28.54
34760,28.55
34141,25.9
32179,29.04
32183,29.04
34761,28.57
33556,28.2
34762,28.74
34677,28.04
33865,27.49
34264,27.44
32763,28.93
32774,28.93
32182,29.5
32801,28.5
32802,28.5
32803,28.5
32804,28.5
32805,28.5
32806,28.5
32807,28.5
32808,28.5
32809,28.5
32810,28.5
32811,28.5
32812,28.5
32814,28.5
32815,28.5
32816,28.5
32817,28.5
32818,28.5
32819,28.5
32820,28.5
32821,28.5
32822,28.5
32824,28.5
32825,28.5
32826,28.5
32827,28.5
32828,28.5
32829,28.5
32830,28.37
32831,28.5
32832,28.5
32833,28.5
32834,28.5
32835,28.5
32836,28.5
32837,28.5
32839,28.5
32853,28.5
32854,28.5
32855,28.5
32856,28.5
32857,28.5
32858,28.5
32859,28.5
32860,28.5
32861,28.5
32862,28.5
32867,28.5
32868,28.5
32869,28.5
32872,28.5
32877,28.5
32878,28.5
32885,28.54
32886,28.5
32887,28.5
32891,28.5
32896,28.32
32897,28.5
32899,28.5
32173,29.28
32174,29.28
32175,29.28
32176,29.28
34229,27.19
32764,28.84
32762,28.65
32765,28.65
32766,28.65
34660,28.08
32767,28.98
32177,29.64
32178,29.64
33944,26.94
34220,27.52
34221,27.52
34682,28.08
34683,28.08
34684,28.08
34685,28.08
34219,27.58
32180,29.23
33945,26.67
33780,27.85
33781,27.85
33782,27.85
33946,26.83
33947,26.85
33563,28.01
33564,28.0
33565,28.0
33566,28.0
33567,28.0
32768,28.69
33868,28.18
32181,29.49
32123,29.19
32127,29.19
32128,29.1
32129,29.1
34667,28.35
34668,28.3
34669,28.35
34673,28.27
34674,28.35
33927,26.89
33938,27.0
33948,26.98
33949,26.98
33950,26.89
33951,26.89
33952,26.98
33953,26.98
33954,26.98
33955,26.89
33980,26.98
33981,26.98
33982,26.89
33983,26.89
32185,29.73
33568,27.84
33569,27.83
33578,27.88
33579,27.79
32955,28.31
32956,28.31
32957,27.83
33570,27.71
33571,27.72
33572,27.78
33573,27.72
33575,27.72
34695,28.0
34769,28.24
34770,28.24
34771,28.24
34772,28.24
34773,28.24
33956,26.49
33574,28.33
33701,27.75
33702,27.75
33703,27.75
33704,27.75
33705,27.75
33706,27.75
33707,27.75
33708,27.75
33709,27.75
33710,27.75
33711,27.75
33712,27.75
33713,27.75
33714,27.75
33715,27.75
33716,27.75
33729,27.75
33730,27.75
33731,27.75
33732,27.75
33733,27.75
33734,27.75
33736,27.75
33737,27.75
33738,27.75
33740,27.75
33741,27.75
33742,27.75
33743,27.75
33747,27.75
33784,27.75
33576,28.33
32771,28.78
32772,28.78
32773,28.78
33957,26.44
32187,29.6
34230,27.33
34231,27.33
34232,27.33
34233,27.33
34234,27.33
34235,27.33
34236,27.33
34237,27.33
34238,27.33
34239,27.33
34240,27.33
34241,27.33
34242,27.33
34243,27.33
34276,27.33
34277,27.33
34278,27.33
32189,29.55
32775,28.76
32958,27.78
32976,27.78
32978,27.78
33870,27.49
33871,27.49
33872,27.49
33875,27.41
33876,27.42
33583,27.99
33584,27.99
32190,29.31
32959,28.43
32776,28.81
32192,29.33
33585,28.73
33586,27.68
33587,27.9
34270,27.44
33601,27.95
33602,27.95
33603,27.95
33604,27.95
33605,27.95
33606,27.95
33607,27.95
33608,27.95
33609,27.95
33610,27.95
33611,27.95
33612,27.95
33613,27.95
33614,27.95
33615,27.95
33616,27.95
33617,27.95
33618,27.95
33619,27.95
33620,27.95
33621,27.95
33622,27.95
33623,27.95
33624,27.95
33625,27.95
33626,27.95
33629,27.95
33630,27.95
33631,27.95
33633,27.95
33634,27.95
33635,27.95
33637,27.95
33646,27.95
33647,27.95
33650,27.95
33655,27.95
33660,27.95
33661,27.95
33662,27.95
33663,27.95
33664,27.95
33672,27.95
33673,27.95
33674,27.95
33675,27.95
33677,27.95
33679,27.95
33680,27.95
33681,27.95
33682,27.95
33684,27.95
33685,27.95
33686,27.95
33687,27.95
33688,27.95
33689,27.95
33694,27.95
32777,28.76
34688,28.14
34689,28.14
34690,28.18
34691,28.18
34692,28.19
32778,28.8
34250,27.58
33592,28.07
32780,28.58
32781,28.58
32783,28.58
32796,28.58
33593,28.44
32784,28.92
33594,27.94
33595,27.94
33596,27.88
34284,27.09
34285,27.09
34286,27.04
34287,27.04
34288,27.04
34289,27.04
34290,27.04
34291,27.17
34292,27.09
34293,27.09
33960,27.06
32960,27.64
32961,27.64
32962,27.64
32963,27.64
32964,27.64
32965,27.64
32966,27.64
32967,27.64
32968,27.64
32969,27.64
32970,27.75
33873,27.54
33877,27.96
33597,28.61
32195,28.98
32193,29.48
34785,28.85
33598,27.71
34786,28.49
32971,27.71
34777,28.56
34778,28.56
34787,28.56
33880,28.04
33881,28.04
33882,28.04
33883,28.04
33884,28.04
33885,28.04
33888,28.04
32789,28.59
32790,28.59
32792,28.59
32793,28.59
34797,28.74
32798,28.73
33539,28.23
33540,28.23
33541,28.23
33542,28.23
33543,28.23
33544,28.23
33545,28.28
33890,27.49
32267,30.38
32290,30.33
32454,30.37
32782,28.61
32890,28.46
32893,28.42
32898,28.53
33107,25.79
33110,25.85
33121,25.79
33148,25.79
33195,25.79
33439,26.84
33447,26.46
33651,27.95
33690,27.92
33900,26.62
